Name,Quantity,Component
"U1",1," Arduino Uno R3"
"D1",1,"Red LED"
"R1",1,"220 Ω Resistor"
"PIEZO1",1," Piezo"
"DIST1",1," Ultrasonic Distance Sensor (4-pin)"
"SERVO1",1,"Positional Micro Servo"
"R2",1,"100 Ω Resistor"
