Name,Quantity,Component
"U1",1," Arduino Uno R3"
"PIEZO1",1," Piezo"
"PIR1",1," PIR Sensor"
"R1",1," Force Sensor"
"R2",1,"10 kΩ Resistor"
"R3",1,"220 Ω Resistor"
"D1",1,"Red LED"
"U2",1,"PCF8574-based, 32 (0x20) LCD 16 x 2 (I2C)"
"R4",1,"100 Ω Resistor"
